,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
948,948,a1924,b1519,blood//sugar//secs//traffic,the gotobeds,Jun 10 2016,thick as thieves,the temper trap,Jun 10 2016
949,949,a1926,b1507,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016
950,950,a1926,b1513,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,good times!,the monkees,Jun 10 2016
951,951,a1926,b1519,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,thick as thieves,the temper trap,Jun 10 2016
952,952,a1927,b1508,strange little birds,garbage,Jun 10 2016,strange little birds,garbage,Jun 10 2016
953,953,a1928,b1503,american tunes,allen toussaint,Jun 10 2016,american tunes,allen toussaint,Jun 10 2016
954,954,a193,b3076,the knowledge,squeeze,Oct 13 2017,the knowledge,squeeze,Oct 13 2017
955,955,a1932,b1507,breakin' point,peter bjorn and john,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016
956,956,a1932,b1515,breakin' point,peter bjorn and john,Jun 10 2016,breakin' point,peter bjorn and john,Jun 10 2016
957,957,a1933,b1507,patience,the invisible,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016
958,958,a1933,b1513,patience,the invisible,Jun 10 2016,good times!,the monkees,Jun 10 2016
959,959,a1933,b1519,patience,the invisible,Jun 10 2016,thick as thieves,the temper trap,Jun 10 2016
960,960,a1937,b1507,fitz and the tantrums,fitz & the tantrums,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016
