Album,Artist,Genre,Label,Producer,Release Date,Meta Score
The Endless Shimmering,And So I Watch You from Afar,['Pop/Rock'],['Sargent House'],,Oct 20 2017,77
Value,Visionist,['Electronic'],['Big Dada'],,Oct 20 2017,69
Mechanics of Dominion,Esmerine,['Pop/Rock'],['Constellation'],,Oct 20 2017,83
The Wasted Years [Box Set],The Jazz Butcher,['Pop/Rock'],['Fire Records'],,Oct 20 2017,79
Solo: Reflections and Meditations on Monk,Wadada Leo Smith,['Jazz'],['TUM Records'],,Oct 20 2017,74
A Long Way from Your Heart,Turnpike Troubadours,['Pop'],['Bossier City Records'],,Oct 20 2017,84
Two Trains,Hogni,['Pop/Rock'],['Erased Tapes Records'],,Oct 20 2017,65
Afternooners,Patrick Cowley,['Pop/Rock'],['Dark Entries'],,Oct 20 2017,86
Super Slimey [Mixtape],Future,['Rap'],['RCA'],,Oct 20 2017,66
The Emancipation Procrastination,Christian Scott,['Jazz'],['Ropeadope'],,Oct 20 2017,83
Flat Worms,Flat Worms,['Pop/Rock'],['Castle Face'],,Oct 20 2017,76
The Knowledge,Squeeze,['Pop/Rock'],['Love Records'],,Oct 13 2017,81
Nothing Valley,Melkbelly,['Pop/Rock'],['Wax Nine Records'],,Oct 13 2017,78
Carry Fire,Robert Plant,['Folk'],['Nonesuch'],,Oct 13 2017,84
Going Grey,The Front Bottoms,['Pop/Rock'],['Fueled By Ramen'],,Oct 13 2017,78
Ogilala,William Patrick Corgan,['Pop/Rock'],['BMG Rights Management'],,Oct 13 2017,70
Colors,Beck,['Pop/Rock'],['Capitol'],,Oct 13 2017,72
Masseduction,St. Vincent,['Pop/Rock'],['Loma Vista'],,Oct 13 2017,88
Lotta Sea Lice,Courtney Barnett,['Pop/Rock'],['Matador'],,Oct 13 2017,79
The Ooz,King Krule,['Pop/Rock'],['True Panther Sounds'],,Oct 13 2017,80
Queens of the Breakers,The Barr Brothers,['Folk'],['Secret City Records'],,Oct 13 2017,77
Rationale,Rationale,['Pop/Rock'],['Warner Bros.'],,Oct 13 2017,72
Daylight,The Selecter,['Pop/Rock'],['DMF Music'],,Oct 13 2017,71
There Is No Love in Fluorescent Light,Stars,['Alternative/Indie Rock'],['Last Gang Records'],,Oct 13 2017,79
Beautiful Trauma,P!nk,['Pop'],['RCA'],,Oct 13 2017,62
The Saga Continues,Wu-Tang,['Rap'],['eOne'],,Oct 13 2017,64
Shapeshifter,Knuckle Puck,['Pop/Rock'],"['BMG ', ' Rise Records']",,Oct 13 2017,84
Mr. Davis,Gucci Mane,['Rap'],['Atlantic'],,Oct 13 2017,77
Dissolve,TUSKS,['Electronic'],['One Little Indian'],,Oct 13 2017,75
Afterglow,Jon Boden,['Folk'],['Hudson'],,Oct 13 2017,59
Sketches of Brunswick East,King Gizzard & the Lizard Wizard,['Pop/Rock'],['ATO'],,Oct 13 2017,79
The Wild,The Rural Alberta Advantage,['Pop/Rock'],['Paper Bag Records'],,Oct 13 2017,82
Rat Film [Original Motion Picture Soundtrack],Dan Deacon,['Avant-Garde'],['Domino'],,Oct 13 2017,61
Murderburgers,King Khan,['Pop/Rock'],['Ernest Jenning'],,Oct 13 2017,77
The Book of Law,Lawrence Rothman,['Pop/Rock'],['Interscope'],,Oct 13 2017,72
Morning After,dvsn,['R&B'],['Warner Bros.'],,Oct 13 2017,74
Woody Guthrie: The Tribute Concerts,Woody Guthrie,['Folk'],['Bear Family Records'],,Oct 13 2017,84
As You Were,Liam Gallagher,['Pop/Rock'],['Warner Bros.'],,Oct 6 2017,71
Fatherland,Kele Okereke,['Pop/Rock'],"['BMG ', ' BMG Rights Management']",,Oct 6 2017,66
As You Please,Citizen,['Pop/Rock'],['Run for Cover Records'],,Oct 6 2017,77
Undivided Heart & Soul,JD McPherson,['Pop/Rock'],['New West Records'],,Oct 6 2017,75
Realisationship,Andrew Hung,['Pop/Rock'],['Lex Records'],,Oct 6 2017,62
I Tell a Fly,Benjamin Clementine,['Pop/Rock'],['Virgin'],,Oct 6 2017,80
Cry Cry Cry,Wolf Parade,['Pop/Rock'],['Sub Pop'],,Oct 6 2017,82
IN///PARALLEL,Dhani Harrison,['Pop/Rock'],['BMG'],,Oct 6 2017,74
The Weather Station,The Weather Station,['Pop/Rock'],['Paradise of Bachelors'],,Oct 6 2017,85
Jersey Devil,Ducktails,['Pop/Rock'],['New Images'],,Oct 6 2017,72
Pinewood Smile,The Darkness,['Heavy Metal'],['Cooking Vinyl'],,Oct 6 2017,71
Rule 62,Whitney Rose,['Country'],['Six Shooter Records'],,Oct 6 2017,73
The Kid,Kaitlyn Aurelia Smith,['Pop/Rock'],['Western Vinyl Records'],,Oct 6 2017,82
Heaven Upside Down,Marilyn Manson,['Pop/Rock'],['Loma Vista'],,Oct 6 2017,71
Willowbank,Yumi Zouma,['Pop/Rock'],['Cascine'],,Oct 6 2017,76
French Touch,Carla Bruni,['Pop/Rock'],['Verve'],,Oct 6 2017,62
Take Me Apart,Kelela,['R&B'],['Warp'],,Oct 6 2017,84
Phantom Anthem,August Burns Red,['Pop/Rock'],['Fearless Records'],,Oct 6 2017,82
Nightbringers,The Black Dahlia Murder,['Pop/Rock'],['Metal Blade'],,Oct 6 2017,85
Tenderness,Blue Hawaii,['Electronic'],['Arbutus Records'],,Oct 6 2017,78
Offering,Cults,['Pop/Rock'],['Omnian'],,Oct 6 2017,71
I Love You Like a Brother,Alex Lahey,['Pop/Rock'],['Dead Oceans Records'],,Oct 6 2017,80
Arise,Zara McFarlane,['Jazz'],['Brownswood'],,Oct 6 2017,87
Wide Open,Weaves,['Pop/Rock'],['Kanine Records'],,Oct 6 2017,75
For Sale: Live at Maxwell's 1986,The Replacements,['Pop/Rock'],['Sire'],,Oct 6 2017,86
Eternal Recurrence,Deradoorian,['Pop/Rock'],['Anticon'],,Oct 6 2017,72
The Curious Hand,Seamus Fogarty,['Pop/Rock'],['Domino'],,Oct 6 2017,84
HEAVN,Jamila Woods,['R&B'],['Jagjaguwar'],,Oct 6 2017,83
King of the Boogie [Craft] [Box Set],John Lee Hooker,['Blues'],['Concord'],,Oct 6 2017,90
Lilies,Melanie De Biasio,['Jazz'],['Le Label'],,Oct 6 2017,81
Boxing the Moonlight,Mister Heavenly,['Pop/Rock'],['Polyvinyl'],,Oct 6 2017,70
The New Monday,Shigeto,['Electronic'],['Ghostly International'],,Oct 6 2017,72
DJ-Kicks,Lone,['Electronic'],['!K7'],,Oct 6 2017,77
Tommy [EP],Klein,['Electronic'],['Hyperdub'],,Oct 6 2017,83
For Paris,Levon Vincent,['Electronic'],[],,Oct 2 2017,79
Always Foreign,The World Is a Beautiful Place & I Am No Longer Afraid to Die,['Pop/Rock'],['Epitaph'],,Sep 29 2017,80
The Centre Cannot Hold,Ben Frost,['Electronic'],['Mute'],,Sep 29 2017,75
Visions of a Life,Wolf Alice,['Pop/Rock'],['RCA'],,Sep 29 2017,81
Relatives in Descent,Protomartyr,['Pop/Rock'],['Domino'],,Sep 29 2017,85
20 Years in a Montana Missile Silo,Pere Ubu,['Pop/Rock'],['Cherry Red'],,Sep 29 2017,78
Death Had Quicker Wings Than Love,Marry Waterson,['Folk'],['One Little Indian'],,Sep 29 2017,84
Three Futures,Torres,['Pop/Rock'],['4AD'],,Sep 29 2017,79
Younger Now,Miley Cyrus,['Pop'],['RCA'],,Sep 29 2017,58
Loney Dear,Loney Dear,['Pop/Rock'],['Real World Records'],,Sep 29 2017,69
Now,Shania Twain,['Country'],['Mercury Nashville'],,Sep 29 2017,58
Harmony of Difference [EP],Kamasi Washington,['Jazz'],['Young Turks'],,Sep 29 2017,81
Sky Trails,David Crosby,['Folk'],['BMG'],,Sep 29 2017,76
The Desaturating Seven,Primus,['Pop/Rock'],['ATO'],,Sep 29 2017,68
Ash,Ibeyi,['Pop/Rock'],['XL'],,Sep 29 2017,78
Desire,Hurts,['Alternative/Indie Rock'],['Sony Music Entertainment'],,Sep 29 2017,61
Qualia,Andrew Weatherall,['Electronic'],['Höga Nord Rekords'],,Sep 29 2017,73
Tell Me You Love Me,Demi Lovato,['Pop'],['Island'],,Sep 29 2017,72
A New Career in a New Town (1977-1982) [Box Set],David Bowie,['Pop/Rock'],['Parlophone'],,Sep 29 2017,85
Sorry Is Gone,Jessica Lea Mayfield,['Pop/Rock'],['ATO'],,Sep 29 2017,84
Part 2,Brix & the Extricated,['Pop/Rock'],['Blang'],,Sep 29 2017,69
Neō Wax Bloom,Iglooghost,['Electronic'],['Brainfeeder'],,Sep 29 2017,83
Sterilize,Unsane,['Pop/Rock'],['Southern Lord Records'],,Sep 29 2017,77
New Energy,Four Tet,['Electronic'],['Temporary Residence'],,Sep 29 2017,86
Is Alive & Well & Living in Buenos Aires: Heavy Frenz the Solo Anthology 2001-2017,Luke Haines,['Britpop'],['Cherry Red'],,Sep 29 2017,79
Mary Casio: Journey to Cassiopeia,Hannah Peel,['Electronic'],['My Own Pleasure'],,Sep 29 2017,82
Dreams and Daggers,Cécile McLorin Salvant,['Jazz'],['Mack Avenue'],,Sep 29 2017,89
This Sweet Old World,Lucinda Williams,['Country'],['Highway 20 Records'],,Sep 29 2017,86
Gossip,Sleeping with Sirens,['Pop/Rock'],['Warner Bros.'],,Sep 22 2017,74
V,The Horrors,['Pop/Rock'],['Caroline'],,Sep 22 2017,87
Music for the Age of Miracles,The Clientele,['Pop/Rock'],['Merge'],,Sep 22 2017,80
Strange Peace,METZ,['Pop/Rock'],['Sub Pop'],,Sep 22 2017,78
Hallelujah Anyhow,Hiss Golden Messenger,['Pop/Rock'],['Merge'],,Sep 22 2017,80
Stranger in the Alps,Phoebe Bridgers,['Pop/Rock'],['Dead Oceans Records'],,Sep 22 2017,82
Thrice Woven,Wolves in the Throne Room,['Pop/Rock'],['Artemisia'],,Sep 22 2017,76
Wonderful Wonderful,The Killers,['Pop/Rock'],['Island'],,Sep 22 2017,71
Haiku from Zero,Cut Copy,['Pop/Rock'],['Astralwerks'],,Sep 22 2017,62
Hiss Spun,Chelsea Wolfe,['Alternative/Indie Rock'],['Sargent House'],,Sep 22 2017,81
Plum,Wand,['Folk'],['Drag City'],,Sep 22 2017,76
Luciferian Towers,Godspeed You! Black Emperor,['Pop/Rock'],['Constellation'],,Sep 22 2017,76
Aromanticism,Moses Sumney,['Pop/Rock'],['Jagjaguwar'],,Sep 22 2017,85
ununiform,Tricky,['Electronic'],['!K7'],,Sep 22 2017,71
Cryptoriana: The Seductiveness of Decay,Cradle of Filth,['Pop/Rock'],['Nuclear Blast'],,Sep 22 2017,77
A Sentimental Education,Luna,['Pop/Rock'],['Double Feature'],,Sep 22 2017,75
La Confusion,Amadou & Mariam,['International'],['Because Music'],,Sep 22 2017,80
The Spark,Enter Shikari,['Pop/Rock'],['PIAS'],,Sep 22 2017,74
BRVNX (V),The Bronx,['Alternative/Indie Rock'],['ATO'],,Sep 22 2017,66
Gemini,Macklemore,['Rap'],['Bendo LLC'],,Sep 22 2017,63
Multi-Task,Omni,['Pop/Rock'],['Trouble in Mind'],,Sep 22 2017,74
